Total path distance: 2653775.73 meters

Vertex Coordinates (Pixel, Global):
Pixel: (275, 812) -> Global: (67.972021, 20.941515)
Pixel: (274, 812) -> Global: (67.972021, 20.953805)
Pixel: (273, 812) -> Global: (67.972021, 20.966095)
Pixel: (272, 812) -> Global: (67.972021, 20.978385)
Pixel: (271, 812) -> Global: (67.972021, 20.990675)
Pixel: (270, 812) -> Global: (67.972021, 21.002965)
Pixel: (269, 812) -> Global: (67.972021, 21.015255)
Pixel: (268, 811) -> Global: (67.950622, 21.027545)
Pixel: (267, 810) -> Global: (67.929223, 21.039835)
Pixel: (266, 810) -> Global: (67.929223, 21.052125)
Pixel: (265, 810) -> Global: (67.929223, 21.064415)
Pixel: (264, 810) -> Global: (67.929223, 21.076705)
Pixel: (263, 810) -> Global: (67.929223, 21.088995)
Pixel: (262, 810) -> Global: (67.929223, 21.101285)
Pixel: (261, 810) -> Global: (67.929223, 21.113574)
Pixel: (260, 810) -> Global: (67.929223, 21.125864)
Pixel: (259, 810) -> Global: (67.929223, 21.138154)
Pixel: (258, 810) -> Global: (67.929223, 21.150444)
Pixel: (257, 810) -> Global: (67.929223, 21.162734)
Pixel: (256, 810) -> Global: (67.929223, 21.175024)
Pixel: (255, 810) -> Global: (67.929223, 21.187314)
Pixel: (254, 810) -> Global: (67.929223, 21.199604)
Pixel: (253, 810) -> Global: (67.929223, 21.211894)
Pixel: (252, 810) -> Global: (67.929223, 21.224184)
Pixel: (251, 809) -> Global: (67.907825, 21.236474)
Pixel: (250, 808) -> Global: (67.886426, 21.248764)
Pixel: (249, 808) -> Global: (67.886426, 21.261054)
Pixel: (248, 808) -> Global: (67.886426, 21.273343)
Pixel: (247, 808) -> Global: (67.886426, 21.285633)
Pixel: (246, 808) -> Global: (67.886426, 21.297923)
Pixel: (245, 808) -> Global: (67.886426, 21.310213)
Pixel: (244, 807) -> Global: (67.865027, 21.322503)
Pixel: (243, 806) -> Global: (67.843628, 21.334793)
Pixel: (242, 805) -> Global: (67.822229, 21.347083)
Pixel: (241, 805) -> Global: (67.822229, 21.359373)
Pixel: (240, 804) -> Global: (67.800830, 21.371663)
Pixel: (239, 804) -> Global: (67.800830, 21.383953)
Pixel: (238, 803) -> Global: (67.779432, 21.396243)
Pixel: (237, 803) -> Global: (67.779432, 21.408533)
Pixel: (236, 802) -> Global: (67.758033, 21.420823)
Pixel: (235, 802) -> Global: (67.758033, 21.433113)
Pixel: (234, 801) -> Global: (67.736634, 21.445402)
Pixel: (233, 801) -> Global: (67.736634, 21.457692)
Pixel: (232, 801) -> Global: (67.736634, 21.469982)
Pixel: (231, 801) -> Global: (67.736634, 21.482272)
Pixel: (230, 800) -> Global: (67.715235, 21.494562)
Pixel: (229, 800) -> Global: (67.715235, 21.506852)
Pixel: (228, 800) -> Global: (67.715235, 21.519142)
Pixel: (227, 799) -> Global: (67.693836, 21.531432)
Pixel: (226, 799) -> Global: (67.693836, 21.543722)
Pixel: (225, 799) -> Global: (67.693836, 21.556012)
Pixel: (224, 799) -> Global: (67.693836, 21.568302)
Pixel: (223, 799) -> Global: (67.693836, 21.580592)
Pixel: (222, 798) -> Global: (67.672437, 21.592882)
Pixel: (221, 797) -> Global: (67.651039, 21.605171)
Pixel: (220, 797) -> Global: (67.651039, 21.617461)
Pixel: (219, 796) -> Global: (67.629640, 21.629751)
Pixel: (218, 796) -> Global: (67.629640, 21.642041)
Pixel: (217, 796) -> Global: (67.629640, 21.654331)
